Alter;AlterJahr;Geschlecht;Anzahl;Altersgruppe
42-Jährige;42;männlich;25658;40 bis < 50 Jahre
42-Jährige;42;weiblich;24710;40 bis < 50 Jahre
42-Jährige;42;Insgesamt;50368;40 bis < 50 Jahre
43-Jährige;43;männlich;24646;40 bis < 50 Jahre
43-Jährige;43;weiblich;23510;40 bis < 50 Jahre
43-Jährige;43;Insgesamt;48156;40 bis < 50 Jahre
44-Jährige;44;männlich;23748;40 bis < 50 Jahre
44-Jährige;44;weiblich;23040;40 bis < 50 Jahre
44-Jährige;44;Insgesamt;46788;40 bis < 50 Jahre
45-Jährige;45;männlich;22481;40 bis < 50 Jahre
45-Jährige;45;weiblich;22250;40 bis < 50 Jahre
45-Jährige;45;Insgesamt;44731;40 bis < 50 Jahre
46-Jährige;46;männlich;21718;40 bis < 50 Jahre
46-Jährige;46;weiblich;20981;40 bis < 50 Jahre
46-Jährige;46;Insgesamt;42699;40 bis < 50 Jahre
47-Jährige;47;männlich;21027;40 bis < 50 Jahre
47-Jährige;47;weiblich;20515;40 bis < 50 Jahre
47-Jährige;47;Insgesamt;41542;40 bis < 50 Jahre
48-Jährige;48;männlich;20253;40 bis < 50 Jahre
48-Jährige;48;weiblich;20072;40 bis < 50 Jahre
48-Jährige;48;Insgesamt;40325;40 bis < 50 Jahre
49-Jährige;49;männlich;21255;40 bis < 50 Jahre
49-Jährige;49;weiblich;20631;40 bis < 50 Jahre
49-Jährige;49;Insgesamt;41886;40 bis < 50 Jahre
50-Jährige;50;männlich;23394;50 bis < 60 Jahre
50-Jährige;50;weiblich;22613;50 bis < 60 Jahre
50-Jährige;50;Insgesamt;46007;50 bis < 60 Jahre
51-Jährige;51;männlich;23537;50 bis < 60 Jahre
51-Jährige;51;weiblich;22985;50 bis < 60 Jahre
51-Jährige;51;Insgesamt;46522;50 bis < 60 Jahre
52-Jährige;52;männlich;24638;50 bis < 60 Jahre
52-Jährige;52;weiblich;23746;50 bis < 60 Jahre
52-Jährige;52;Insgesamt;48384;50 bis < 60 Jahre
53-Jährige;53;männlich;25713;50 bis < 60 Jahre
53-Jährige;53;weiblich;24976;50 bis < 60 Jahre
53-Jährige;53;Insgesamt;50689;50 bis < 60 Jahre
54-Jährige;54;männlich;25700;50 bis < 60 Jahre
54-Jährige;54;weiblich;25025;50 bis < 60 Jahre
54-Jährige;54;Insgesamt;50725;50 bis < 60 Jahre
55-Jährige;55;männlich;26366;50 bis < 60 Jahre
55-Jährige;55;weiblich;26364;50 bis < 60 Jahre
55-Jährige;55;Insgesamt;52730;50 bis < 60 Jahre
56-Jährige;56;männlich;27351;50 bis < 60 Jahre
56-Jährige;56;weiblich;26791;50 bis < 60 Jahre
56-Jährige;56;Insgesamt;54142;50 bis < 60 Jahre
57-Jährige;57;männlich;27466;50 bis < 60 Jahre
57-Jährige;57;weiblich;27387;50 bis < 60 Jahre
57-Jährige;57;Insgesamt;54853;50 bis < 60 Jahre
58-Jährige;58;männlich;27206;50 bis < 60 Jahre
58-Jährige;58;weiblich;27060;50 bis < 60 Jahre
58-Jährige;58;Insgesamt;54266;50 bis < 60 Jahre
59-Jährige;59;männlich;25658;50 bis < 60 Jahre
59-Jährige;59;weiblich;25773;50 bis < 60 Jahre
59-Jährige;59;Insgesamt;51431;50 bis < 60 Jahre
60-Jährige;60;männlich;23943;60 bis < 70 Jahre
60-Jährige;60;weiblich;24647;60 bis < 70 Jahre
60-Jährige;60;Insgesamt;48590;60 bis < 70 Jahre
61-Jährige;61;männlich;23184;60 bis < 70 Jahre
61-Jährige;61;weiblich;23068;60 bis < 70 Jahre
61-Jährige;61;Insgesamt;46252;60 bis < 70 Jahre
62-Jährige;62;männlich;21854;60 bis < 70 Jahre
62-Jährige;62;weiblich;22292;60 bis < 70 Jahre
62-Jährige;62;Insgesamt;44146;60 bis < 70 Jahre
63-Jährige;63;männlich;19591;60 bis < 70 Jahre
63-Jährige;63;weiblich;20391;60 bis < 70 Jahre
63-Jährige;63;Insgesamt;39982;60 bis < 70 Jahre
64-Jährige;64;männlich;18538;60 bis < 70 Jahre
64-Jährige;64;weiblich;19577;60 bis < 70 Jahre
64-Jährige;64;Insgesamt;38115;60 bis < 70 Jahre
65-Jährige;65;männlich;17942;60 bis < 70 Jahre
65-Jährige;65;weiblich;19246;60 bis < 70 Jahre
65-Jährige;65;Insgesamt;37188;60 bis < 70 Jahre
66-Jährige;66;männlich;17267;60 bis < 70 Jahre
